School_ID,School Name,Network,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
400008,ACT CHTR HS,,88.2,90.4,90.8,92.5,91.4,90.2,90.5,99.3,,,,,,,
400009,GLOBAL CITIZENSHIP,Charter,,,,,,,94.6,95.3,95.8,96.2,96.5,96.4,95.9,96.3,96
400010,ACE TECH HS,Charter,,,94.4,91.4,85.2,88,86.5,89.9,92.9,91.4,90.8,89.4,88.1,87.6,85.4
400011,LOCKE A,Charter,93.8,94.3,94,93.7,93.1,93.1,93.2,94.4,93.8,94.4,94.4,94.6,94.6,94.4,94.2
400012,AMANDLA HS,,,,,,,,93.4,92.4,91.8,95.8,93.4,91.2,91,87.4,
400013,ASPIRA - EARLY COLLEGE HS,Charter,,,,,,91.5,89.7,87.8,90.9,93.9,96.1,91.7,87.6,90.8,90
400015,ASPIRA CHTR - RAMIREZ HS,,,90.7,90.1,91.3,91.6,93.4,89.5,89.9,85.4,87.7,85.5,86.5,84.1,,
400017,ASPIRA - HAUGAN,Charter,,,,95,94.4,94.8,95.1,95.5,95.2,96,94.8,95.2,95,94.9,93.8
400018,AUSTIN BUS & ENTRP HS,,,,,,84.8,84.4,82.8,91.5,76.2,73,78.4,85.1,87.5,82.9,
400019,BRONZEVILLE LIGHTHOUSE,,,,,,92,91.6,93.9,95.3,97.3,98.5,98.9,97.4,94.4,96,
400020,CATALYST - HOWLAND,,,,,,92.6,94.3,97.2,96.4,96.1,92.8,92.7,94.1,93.9,,
400021,CATALYST - CIRCLE ROCK,Charter,,,,,,,98.3,94.1,93.8,93.6,95.3,95.3,95.2,96.1,95.3
400022,CHICAGO ARTS HS,Contract,,,,,,,,96.4,96.5,96.1,94.5,94.8,97.2,97,98.9
400023,CICS - AVALON/SOUTH SHORE,Charter,,,,93.6,94.8,94.9,95.3,96,97.5,97,98.7,96.4,94.4,95.6,95.6
400024,CICS - BASIL,Charter,92.6,94.1,94.4,94.8,94,94.3,93,93,93.6,94.3,93.9,94,93.5,93.9,93.2
400025,CICS - BUCKTOWN,Charter,94.3,95.2,94.7,94.6,94,94.4,95,95.3,95.8,95.5,94.9,94.3,93.8,95.1,94.5
400026,CICS - LOOMIS,Charter,,,,,,,93.3,94.6,94.1,94.7,97.8,94.4,95.3,92.5,91.8
400027,CICS - IRVING PARK,Charter,,,,,,93.9,94.2,96,96.3,96.7,96.7,96.2,95.6,94,93.9
400028,CICS - PRAIRIE,Charter,96.2,95.7,94.9,94.5,94.4,94.5,94.3,94.7,94.4,95.6,95.3,95.6,95.1,95.6,94.8
400029,CICS - WASHINGTON PARK,Charter,94.3,94.4,93.7,93.8,93.2,93,93.4,94,93.9,94,96.4,92.4,92.6,93.1,93
400030,CICS - WEST BELDEN,Charter,96.2,95.7,95.8,96,95.7,95.9,96.2,96.1,95.8,96.5,96.7,96.6,96.4,96.4,96
400031,CICS - WRIGHTWOOD,Charter,,,,93.9,94.6,96.8,96.7,95.3,95.3,95.6,96.3,96,95,94.9,94.4
400032,CICS - ELLISON HS,Charter,,,,,94.4,94,95,93.4,94,94.7,94.4,95.8,95.6,91,88.7
