ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
10508593,HZ250410,5/3/2016 21:00,042XX W MADISON ST,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,TRUE,FALSE,1115,11,28,26,18,1148220,1899677,2016,5/10/2016 15:56,41.88065818,-87.73121214,"(41.880658176, -87.731212135)"
10508594,HZ250385,5/3/2016 21:35,065XX S KEDVALE AVE,810,THEFT,OVER $500,APARTMENT,FALSE,TRUE,833,8,13,65,6,1149830,1860872,2016,5/10/2016 15:56,41.77414081,-87.72630709,"(41.77414081, -87.726307093)"
10508595,HZ250362,5/3/2016 14:45,045XX S DAMEN AVE,560,ASSAULT,SIMPLE,STREET,FALSE,TRUE,924,9,12,61,08A,1163662,1874660,2016,5/10/2016 15:56,41.81169772,-87.67521432,"(41.811697721, -87.675214316)"
10508597,HZ250202,5/3/2016 18:42,063XX S CLAREMONT AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,FALSE,TRUE,825,8,15,66,08B,1161829,1862607,2016,5/10/2016 15:56,41.77866106,-87.68227253,"(41.778661058, -87.68227253)"
10508598,HZ250298,5/3/2016 15:00,070XX S INDIANA AVE,320,ROBBERY,STRONGARM - NO WEAPON,SIDEWALK,FALSE,FALSE,322,3,6,69,3,1178808,1858478,2016,5/10/2016 15:56,41.76696103,-87.62015212,"(41.766961034, -87.620152116)"
10508599,HZ250438,5/3/2016 22:02,0000X N HOMAN BLVD,4625,OTHER OFFENSE,PAROLE VIOLATION,STREET,TRUE,FALSE,1123,11,28,27,26,1153709,1900237,2016,5/10/2016 15:56,41.88208743,-87.71104196,"(41.882087429, -87.711041964)"
10508600,HZ250443,5/3/2016 15:30,004XX S HAMLIN BLVD,560,ASSAULT,SIMPLE,SIDEWALK,FALSE,FALSE,1133,11,24,26,08A,1151172,1897587,2016,5/10/2016 15:56,41.87486564,-87.72042737,"(41.874865643, -87.720427367)"
10508602,HZ250374,5/3/2016 21:09,062XX S MICHIGAN AVE,820,THEFT,$500 AND UNDER,APARTMENT,TRUE,FALSE,311,3,20,40,6,1178263,1863570,2016,5/10/2016 15:56,41.7809464,-87.62199537,"(41.780946398, -87.621995369)"
10508603,HZ250430,5/3/2016 21:42,060XX S EBERHART AVE,2029,NARCOTICS,POSS: HEROIN(BLACK TAR),SIDEWALK,TRUE,FALSE,313,3,20,42,18,1180634,1865037,2016,5/10/2016 15:56,41.78491783,-87.61325785,"(41.784917834, -87.613257846)"
10508604,HZ250386,5/3/2016 20:42,067XX S LAFLIN ST,4387,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,STREET,TRUE,TRUE,725,7,17,67,26,1167494,1860107,2016,5/10/2016 15:56,41.77168117,-87.66157579,"(41.771681167, -87.661575794)"
10508605,HZ250426,5/3/2016 22:15,074XX S RACINE AVE,495,BATTERY,AGGRAVATED OF A SENIOR CITIZEN,BAR OR TAVERN,FALSE,FALSE,733,7,17,68,04B,1169614,1855298,2016,5/10/2016 15:56,41.75843896,-87.65394381,"(41.758438955, -87.653943807)"
10508606,HZ250190,5/3/2016 9:30,033XX W OGDEN AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,POLICE FACILITY/VEH PARKING LOT,FALSE,FALSE,1024,10,24,29,14,1154489,1891024,2016,5/10/2016 15:56,41.85679041,-87.70842407,"(41.856790413, -87.708424071)"
